Fighter_first,Fighter_last,Fighter_height,Fighter_weight,Fighter_reach,Fighter_wins,Fighter_losses,Fighter_draws,Fighter_nickname,Fighter_stance
Luan,Lacerda,"5' 7""",135 lbs.,"71.0""",12,3,0,,Orthodox
Kemran,Lachinov,--,170 lbs.,--,3,2,0,,
Aspen,Ladd,"5' 6""",135 lbs.,"66.0""",9,3,0,,Orthodox
Ryan,LaFlare,"6' 1""",170 lbs.,"74.0""",14,3,0,,Southpaw
Corinne,Laframboise,--,125 lbs.,--,8,4,0,,
Ben,Lagman,"6' 2""",185 lbs.,--,6,5,0,Bad News,
Noad,Lahat,"5' 9""",145 lbs.,"69.0""",11,2,0,Neo,Orthodox
Tina,Lahdemaki,"5' 2""",115 lbs.,--,5,1,0,Jelly Bean,Orthodox
Yohan,Lainesse,"6' 1""",170 lbs.,"76.0""",9,2,0,White Lion,Orthodox
Tim,Lajcik,"6' 1""",225 lbs.,--,7,6,1,The Bohemian,Orthodox
Todd,Lally,"5' 7""",145 lbs.,--,2,1,0,,Orthodox
Sean,Lally,"6' 0""",170 lbs.,--,7,3,0,The Unpredictable One,Orthodox
Ricardo,Lamas,"5' 8""",145 lbs.,"71.0""",20,8,0,The Bully,Orthodox
Jason,Lambert,"6' 3""",185 lbs.,"75.0""",26,13,0,The Punisher,Orthodox
Jose,Landi-Jons,"5' 11""",170 lbs.,--,29,16,0,Pele,Orthodox
Nate,Landwehr,"5' 9""",145 lbs.,"72.0""",17,5,0,The Train,Orthodox
Austen,Lane,"6' 6""",245 lbs.,"80.0""",12,4,0,,Orthodox
Aaron,Lanfranco,--,155 lbs.,--,5,1,0,,
Jeremy,Lang,"5' 11""",205 lbs.,--,21,2,0,,Southpaw
Lionel,Lanham,--,205 lbs.,--,5,1,0,,
Lina,Lansberg,"5' 7""",135 lbs.,"65.0""",10,8,0,Elbow Queen,Orthodox
Taylor,Lapilus,"5' 6""",135 lbs.,"73.0""",19,3,0,Double Impact,Southpaw
Chad,Laprise,"5' 10""",170 lbs.,"71.0""",13,4,0,The Disciple,Orthodox
Anthony,Lapsley,"5' 9""",170 lbs.,--,23,7,0,The Recipe,Southpaw
TJ,Laramie,"5' 6""",145 lbs.,"66.0""",12,5,0,,Orthodox
Icho,Larenas,"6' 3""",235 lbs.,--,6,5,0,,Orthodox
Lorenz,Larkin,"5' 11""",170 lbs.,"72.0""",18,6,0,The Monsoon,Orthodox
Jeremy,Larsen,"5' 10""",145 lbs.,"70.0""",8,5,0,,Orthodox
Brock,Larson,"5' 11""",170 lbs.,"71.0""",42,10,0,,Southpaw
Ryan,Larson,--,170 lbs.,--,6,2,0,,
Bobby,Lashley,"6' 3""",255 lbs.,"78.0""",15,2,0,,Orthodox
Ilir,Latifi,"5' 10""",230 lbs.,"73.0""",17,9,0,The Sledgehammer,Orthodox
Sione,Latu,"6' 0""",215 lbs.,--,1,0,0,,
Jenel,Lausa,"5' 5""",125 lbs.,"68.0""",7,5,0,,Orthodox
Joe,Lauzon,"5' 10""",155 lbs.,"71.0""",28,16,0,,Orthodox
Dan,Lauzon,"5' 10""",155 lbs.,--,17,6,0,The Upgrade,Orthodox
Sandra,Lavado,"5' 7""",115 lbs.,"66.0""",10,3,0,Peruvian Zombie,Orthodox
Chatt,Lavender,"5' 8""",170 lbs.,--,9,7,0,,
Muhammed,Lawal,"6' 0""",205 lbs.,"78.0""",21,6,0,King Mo,Southpaw
Robbie,Lawler,"5' 11""",170 lbs.,"74.0""",30,16,0,Ruthless,Southpaw
Tom,Lawlor,"6' 0""",205 lbs.,"74.0""",10,6,0,Filthy,Southpaw
Justin,Lawrence,"5' 8""",145 lbs.,"67.0""",10,4,0,The American Kidd,Orthodox
Lance,Lawrence,"6' 1""",145 lbs.,"74.0""",4,1,0,,Orthodox
Ronnie,Lawrence,"5' 8""",135 lbs.,"68.0""",8,2,0,The Heat,Switch
Eric,Lawson,"6' 0""",185 lbs.,--,9,5,0,,Orthodox
Jimmy,Lawson,"6' 0""",265 lbs.,"77.0""",4,2,0,Greedy,Orthodox
Valmir,Lazaro,"6' 0""",155 lbs.,"73.0""",15,5,0,Bidu,Orthodox
Zviad,Lazishvili,"5' 6""",135 lbs.,"69.0""",13,1,0,,Orthodox
Mounir,Lazzez,"6' 1""",170 lbs.,"76.0""",11,3,0,The Sniper,Orthodox
Cung,Le,"5' 9""",185 lbs.,"70.0""",9,3,0,,Southpaw
Thanh,Le,"5' 9""",145 lbs.,"74.0""",6,1,0,,Orthodox
Jordan,Leavitt,"5' 9""",155 lbs.,"71.0""",11,2,0,The Monkey King,Southpaw
Jerome,LeBanner,"6' 3""",265 lbs.,--,3,2,0,,Southpaw
Chris,Leben,"5' 11""",185 lbs.,"73.0""",22,11,0,The Crippler,Southpaw
Mickael,Lebout,"5' 11""",155 lbs.,"73.0""",16,7,1,Ragnar,Orthodox
Stephen,Ledbetter,"5' 9""",145 lbs.,--,8,3,0,,Orthodox
Justin,Ledet,"6' 4""",205 lbs.,"80.0""",9,4,0,El Blanco,Orthodox
James,Lee,"5' 11""",205 lbs.,--,15,3,0,,Southpaw
David,Lee,"5' 10""",155 lbs.,--,12,10,0,,Orthodox
Jackie,Lee,--,--,--,0,1,0,,
Eun Soo,Lee,"6' 1""",215 lbs.,--,17,4,0,,Orthodox
Tae Hyun,Lee,"6' 6""",295 lbs.,--,1,2,0,,Orthodox
Tommy,Lee,"5' 7""",145 lbs.,--,25,6,0,,Orthodox
Matt,Lee,"5' 11""",155 lbs.,--,14,10,1,,Orthodox
Imani,Lee,--,--,--,2,4,0,,Orthodox
Vaughan,Lee,"5' 6""",125 lbs.,"66.0""",14,13,1,,Orthodox
Kevin,Lee,"5' 9""",170 lbs.,"77.0""",18,8,0,The Motown Phenom,Orthodox
Rocky,Lee,"5' 9""",145 lbs.,--,3,2,0,,Orthodox
Andrea,Lee,"5' 6""",125 lbs.,"69.0""",13,8,0,KGB,Orthodox
JeongYeong,Lee,"5' 10""",145 lbs.,"73.0""",10,1,0,Korean Tiger,Orthodox
JungHyun,Lee,"5' 5""",125 lbs.,"65.0""",8,1,0,The Phenom,Orthodox
ChangHo,Lee,"5' 8""",135 lbs.,"69.0""",9,1,0,,Orthodox
Ricky,Legere Jr.,"5' 8""",170 lbs.,--,14,4,0,IE Bad Boy,
Sherron,Leggett,"5' 8""",155 lbs.,--,21,6,0,Rob Roy,Southpaw
Cheyden,Leialoha,"5' 8""",135 lbs.,"73.0""",6,0,0,Steadfast,Orthodox
Claudia,Leite,"5' 3""",135 lbs.,"64.0""",8,3,0,,Orthodox
Thales,Leites,"6' 1""",185 lbs.,"78.0""",28,9,0,,Orthodox
Stefan,Leko,"6' 2""",215 lbs.,--,0,3,0,Blitz,Orthodox
Gabe,Lemley,"5' 8""",155 lbs.,--,13,9,0,,Orthodox
Amanda,Lemos,"5' 4""",115 lbs.,"65.0""",13,3,1,,Southpaw
Giacomo,Lemos,"6' 3""",247 lbs.,"75.0""",6,0,0,,Orthodox
Christophe,Leninger,"6' 0""",200 lbs.,--,3,4,0,,Southpaw
Jesse,Lennox,"5' 9""",170 lbs.,"72.0""",14,4,0,The Ox,Orthodox
Jean Francois,Lenogue,"6' 0""",185 lbs.,--,16,17,3,,Orthodox
Nik,Lentz,"5' 8""",145 lbs.,"68.0""",30,12,2,The Carny,Orthodox
Alberta Cerra,Leon,"5' 8""",238 lbs.,--,0,1,0,,
Victoria,Leonardo,"5' 5""",125 lbs.,"64.0""",9,6,0,Fury,Orthodox
Anthony,Leone,"5' 6""",135 lbs.,--,15,8,0,,Orthodox
Chad,Leonhardt,"6' 0""",170 lbs.,--,9,4,0,The Boss,
Kimo,Leopoldo,"6' 3""",235 lbs.,--,10,7,1,,Orthodox
Michael,Lerma,--,--,--,0,1,0,,
Lukasz,Les,--,170 lbs.,--,8,3,0,,
Brock,Lesnar,"6' 3""",265 lbs.,"81.0""",5,3,0,,Orthodox
Frank,Lester,"5' 11""",170 lbs.,--,11,6,0,,Orthodox
Valerie,Letourneau,"5' 7""",115 lbs.,"68.0""",8,6,0,Trouble,Orthodox
Leah,Letson,"5' 7""",145 lbs.,"71.0""",5,3,0,Nidas,Southpaw
Justin,Levens,"5' 11""",185 lbs.,--,10,7,0,The Executioner,Orthodox
Marcus,LeVesseur,"5' 9""",155 lbs.,"70.0""",22,7,0,The Prospect,Southpaw
David,Levicki,"6' 5""",275 lbs.,--,1,3,0,,
Kyle,Levinton,--,--,--,0,3,0,,
Natan,Levy,"5' 9""",155 lbs.,"71.0""",8,1,0,Lethal,Southpaw
John,Lewis,"6' 0""",155 lbs.,--,3,4,3,,Southpaw
Derrick,Lewis,"6' 3""",260 lbs.,"79.0""",27,12,0,The Black Beast,Orthodox
Bevon,Lewis,"6' 3""",185 lbs.,"79.0""",7,3,0,,Orthodox
Brandon,Lewis,"5' 4""",135 lbs.,"70.0""",6,2,0,,Orthodox
Malik,Lewis,"6' 0""",155 lbs.,"75.0""",6,2,0,Hard Knock,Orthodox
Chi,Lewis-Parry,"6' 9""",243 lbs.,--,7,0,1,Chopper,
Li,Jingliang,"6' 0""",170 lbs.,"71.0""",19,8,0,The Leech,Orthodox
Liang,Na,"5' 5""",125 lbs.,"67.0""",19,7,0,The Dragon Girl,Orthodox
Jess,Liaudin,"5' 9""",170 lbs.,"72.0""",20,11,0,The Joker,Orthodox
Chuck,Liddell,"6' 2""",205 lbs.,"76.0""",21,8,0,The Iceman,Orthodox
Rodrigo,Lidio,"5' 11""",155 lbs.,"73.0""",12,3,0,Dynamis,Orthodox
Sam,Liera,--,--,--,12,10,0,,
Zach,Light,"5' 8""",170 lbs.,--,9,11,0,,Orthodox
Scott,Lighty,"6' 2""",205 lbs.,--,6,2,0,,
Chris,Liguori,"5' 9""",185 lbs.,--,15,10,0,,Orthodox
Donnie,Liles,"5' 9""",170 lbs.,--,17,7,0,,Orthodox
Jae Suk,Lim,"5' 9""",170 lbs.,--,17,6,0,,Orthodox
Hyun Gyu,Lim,"6' 3""",170 lbs.,"77.0""",13,7,1,The Ace,Orthodox
Juliana,Lima,"5' 5""",115 lbs.,"65.0""",9,5,0,Ju Thai,Orthodox
Dhiego,Lima,"6' 2""",170 lbs.,"75.0""",17,9,0,,Orthodox
Douglas,Lima,"6' 1""",170 lbs.,--,29,6,0,The Phenom,
Mabelly,Lima,"5' 2""",135 lbs.,--,7,1,0,,Orthodox
Andre,Lima,"5' 7""",125 lbs.,"67.0""",7,0,0,Mascote,Orthodox
Miguel,Linares,--,--,--,2,4,0,,
Emiliano,Linares,"5' 8""",145 lbs.,"72.0""",8,2,0,Golden Bull,Orthodox
Matt,Lindland,"6' 0""",185 lbs.,"74.0""",22,9,0,The Law,Southpaw
Jake,Lindsey,"5' 11""",155 lbs.,--,12,7,0,The Librarian,Switch
John,Lineker,"5' 3""",135 lbs.,"67.0""",31,9,0,Hands of Stone,Orthodox
Austin,Lingo,"5' 10""",145 lbs.,"70.0""",9,3,0,Lights Out,Orthodox
Lucio,Linhares,"6' 2""",185 lbs.,--,19,8,0,,Orthodox
Philipe,Lins,"6' 2""",205 lbs.,"78.0""",17,5,0,Monstro,Orthodox
Ariane,Lipski,"5' 6""",125 lbs.,"67.0""",16,8,0,Queen of Violence,Orthodox
Tainara,Lisboa,"5' 7""",135 lbs.,"67.0""",7,2,0,Thai Panther,Orthodox
Dean,Lister,"6' 1""",185 lbs.,"75.0""",13,7,0,The Boogeyman,Orthodox
Wesley,Little,"6' 4""",205 lbs.,--,4,8,0,,
James,Llontop,"6' 0""",155 lbs.,"73.0""",14,2,0,Goku,Orthodox
Abner,Lloveras,"5' 11""",155 lbs.,--,20,9,1,Skullman,
Brian,Lo-A-Njoe,"5' 7""",155 lbs.,--,6,10,3,,Orthodox
John,Lober,"5' 11""",199 lbs.,--,5,9,4,The Machine,Orthodox
Artem,Lobov,"5' 9""",145 lbs.,"65.0""",13,15,1,The Russian Hammer,Southpaw
Dylan,Lockard,"5' 9""",145 lbs.,"72.0""",6,2,0,,Orthodox
Sean,Loeffler,"6' 3""",185 lbs.,--,31,5,0,The Destroyer,Orthodox
Christian,Lohsen,"6' 2""",155 lbs.,"77.0""",4,2,0,Hollywood,Southpaw
David,Loiseau,"6' 0""",185 lbs.,"76.0""",23,11,0,The Crow,Orthodox
Hector,Lombard,"5' 9""",185 lbs.,"71.0""",34,10,1,,Southpaw
Michael,Lombardo,"6' 0""",170 lbs.,"72.0""",11,2,0,The Don,Orthodox
Rocky,Long,--,145 lbs.,--,21,37,1,,
Thomas,Longacre,"5' 9""",145 lbs.,--,6,1,0,,Orthodox
Loma,Lookboonmee,"5' 1""",115 lbs.,"61.0""",8,3,0,,Orthodox
Ange,Loosa,"5' 10""",170 lbs.,"74.0""",10,3,0,The Last Ninja,Orthodox
Lucas,Lopes,"6' 2""",185 lbs.,--,29,19,0,,
Dileno,Lopes,"5' 5""",135 lbs.,--,19,3,0,,
Diego,Lopes,"5' 11""",145 lbs.,"72.0""",23,6,0,,Orthodox
Bruno,Lopes,"6' 2""",205 lbs.,"75.0""",11,1,0,Brunao,Orthodox
Ivan,Lopez,"5' 6""",135 lbs.,--,14,3,1,,Southpaw
Steve,Lopez,"5' 11""",155 lbs.,--,13,6,1,,Orthodox
Federico,Lopez,"5' 4""",139 lbs.,--,10,6,0,Kiko,Orthodox
Jorge,Lopez,"5' 10""",170 lbs.,--,11,5,0,,Orthodox
Christopher,Lopez,"5' 10""",170 lbs.,--,9,1,0,,
Matthew,Lopez,"5' 7""",135 lbs.,"69.0""",10,4,0,,Southpaw
Benito,Lopez,"5' 10""",135 lbs.,"73.0""",10,2,0,Golden Boy,Switch
Gustavo,Lopez,"5' 5""",135 lbs.,"67.0""",12,6,1,,Orthodox
Brendan,Loughnane,"5' 10""",145 lbs.,"70.0""",17,3,0,,Switch
Nate,Loughran,"6' 2""",185 lbs.,--,11,2,0,,Orthodox
Caolan,Loughran,"5' 6""",135 lbs.,"68.0""",8,1,0,The Don,Orthodox
Rashard,Lovelace,--,155 lbs.,--,4,1,0,,
Ian,Loveland,"5' 8""",145 lbs.,--,18,10,0,The Barn Owl,Orthodox
Jakob,Lovstad,"6' 3""",205 lbs.,--,11,4,0,The Striking Viking,Orthodox
Waylon,Lowe,"5' 7""",145 lbs.,--,16,7,0,,Southpaw
Brandon,Lowe,--,155 lbs.,--,2,1,0,,
Joe,Lowry,"5' 11""",155 lbs.,"73.0""",9,2,0,,Orthodox
Lu,Kai,"5' 9""",145 lbs.,"69.0""",8,5,0,The Last Gladiator,Orthodox
Lu,Zhengyong,--,125 lbs.,--,12,7,0,,
Robert,Lucarelli,"6' 2""",245 lbs.,--,0,1,0,,
Matt,Lucas,"6' 1""",205 lbs.,--,15,3,0,Luke Duke,
Cleber,Luciano,"5' 6""",155 lbs.,--,14,6,0,,
Stephanie,Luciano,"5' 6""",115 lbs.,"65.0""",5,1,1,Rondinha,Orthodox
Iasmin,Lucindo,"5' 3""",115 lbs.,"66.0""",15,5,0,,Orthodox
Duane,Ludwig,"5' 10""",170 lbs.,"70.0""",21,14,0,Bang,Orthodox
Mike,Lullo,"5' 8""",145 lbs.,--,8,3,0,,Orthodox
Dalcha,Lungiambula,"5' 8""",185 lbs.,"76.0""",11,6,0,Champion,Orthodox
Alexandru,Lungu,"6' 0""",385 lbs.,--,14,4,0,,Orthodox
Vicente,Luque,"5' 11""",170 lbs.,"75.0""",22,9,1,The Silent Assassin,Orthodox
Thaddeus,Luster,"6' 3""",210 lbs.,--,0,1,0,,
Travis,Lutter,"5' 11""",185 lbs.,"75.0""",10,6,0,The Serial Killer,Orthodox
Tucker,Lutz,"5' 8""",145 lbs.,"72.0""",12,4,0,Top Gun,Orthodox
Lv,Zhenhong,"5' 8""",145 lbs.,"67.0""",16,6,0,,Switch
Stevie,Lynch,"5' 10""",170 lbs.,--,5,2,0,,Orthodox
Adam,Lynn,"5' 10""",155 lbs.,--,17,10,0,,Orthodox
Chris,Lytle,"5' 11""",170 lbs.,"68.0""",31,18,5,Lights Out,Orthodox
Dong Hyun,Ma,"5' 11""",155 lbs.,"70.0""",16,11,3,Maestro,Orthodox
Pawan,Maan,"5' 7""",155 lbs.,"70.0""",7,3,1,,Orthodox
William,Macario,"5' 11""",170 lbs.,"75.0""",9,3,0,Patolino,Orthodox
Jason,MacDonald,"6' 3""",185 lbs.,"80.0""",25,16,0,The Athlete,Orthodox
Rob,MacDonald,"6' 3""",205 lbs.,"78.0""",5,4,0,Maximus,Orthodox
Rory,MacDonald,"6' 0""",170 lbs.,"76.0""",19,4,0,Red King,Orthodox
Ryan,MacDonald,"5' 11""",135 lbs.,"71.0""",10,2,0,Main Event,Switch
Clayton,MacFarlane,--,170 lbs.,--,4,1,0,,
Ilima,Macfarlane,"5' 4""",125 lbs.,--,6,0,0,,
Valesca,Machado,"5' 4""",115 lbs.,"63.0""",8,3,0,Tina Black,Orthodox
Caio,Machado,"6' 4""",250 lbs.,"78.0""",8,1,1,Bigfoot,Southpaw
Lyoto,Machida,"6' 1""",185 lbs.,"74.0""",24,8,0,The Dragon,Southpaw
War,Machine,"5' 11""",170 lbs.,--,14,5,0,,Orthodox
Anthony,Macias,"5' 9""",185 lbs.,--,26,18,0,Mad Dog,Switch
Pauline,Macias,"5' 4""",115 lbs.,"64.0""",4,1,0,PITA,Southpaw
Reza,Madadi,"5' 11""",155 lbs.,"73.0""",14,6,0,Mad Dog,Orthodox
Don,Madge,"6' 0""",155 lbs.,"72.0""",9,3,1,Magic Man,Southpaw
Ryan,Madigan,"6' 0""",170 lbs.,--,5,3,0,,Orthodox
Victor,Madrigal,"5' 7""",135 lbs.,"71.0""",15,5,0,Periquito,Orthodox
Jon,Madsen,"6' 0""",240 lbs.,"72.0""",8,2,0,,Orthodox
Mark,Madsen,"5' 8""",155 lbs.,"72.0""",12,2,0,The Olympian,Orthodox
Yoshiro,Maeda,"5' 7""",139 lbs.,"68.0""",35,16,5,,Southpaw
Leonardo,Mafra,"5' 10""",155 lbs.,"70.0""",13,4,0,Macarrao,Orthodox
Vinny,Magalhaes,"6' 3""",205 lbs.,"75.0""",14,9,0,Pezao,Orthodox
Vinicius,Magalhaes,--,145 lbs.,--,2,1,0,Draculinho,
Caio,Magalhaes,"6' 1""",185 lbs.,"73.0""",10,3,0,Hellboy,Orthodox
Bernardo,Magalhaes,"5' 9""",155 lbs.,--,13,4,0,Trekko,Orthodox
Eric,Magana,--,--,--,1,1,0,,
Brandon,Magana,--,170 lbs.,--,6,2,0,,Orthodox
Angela,Magana,"5' 1""",115 lbs.,"65.0""",11,9,0,Your Majesty,Orthodox
Neil,Magny,"6' 3""",170 lbs.,"80.0""",28,12,0,The Haitian Sensation,Orthodox
Raimond,Magomedaliev,"6' 1""",170 lbs.,"75.0""",10,2,0,,Orthodox
Ibragim,Magomedov,"6' 0""",250 lbs.,--,22,8,1,,Orthodox
Rashid,Magomedov,"5' 9""",155 lbs.,"70.0""",20,2,0,Highlander,Orthodox
Ruslan,Magomedov,"6' 3""",242 lbs.,"78.0""",14,1,0,Leopard,Orthodox
Abus,Magomedov,"6' 2""",185 lbs.,"78.0""",25,6,1,,Orthodox
Shara,Magomedov,"6' 2""",185 lbs.,"73.0""",12,0,0,Bullet,Orthodox
Zabit,Magomedsharipov,"6' 1""",145 lbs.,"73.0""",18,1,0,,Orthodox
John,Maguire,"5' 9""",155 lbs.,"69.0""",24,9,0,The One,Southpaw
Lolohea,Mahe,--,--,--,10,4,1,,
Michelle,Maher,--,145 lbs.,--,1,2,0,,
Bill,Mahood,"6' 3""",200 lbs.,--,20,7,1,The Butcher,Orthodox
Klayton,Mai,"5' 9""",125 lbs.,--,8,3,0,,
Demian,Maia,"6' 1""",170 lbs.,"72.0""",28,11,0,,Southpaw
Jennifer,Maia,"5' 4""",125 lbs.,"64.0""",21,10,1,,Orthodox
Nayara,Maia,"5' 5""",125 lbs.,"66.0""",7,1,1,Capita,Orthodox
Roshan,Mainam,--,135 lbs.,--,6,3,0,The Indian Notorious,
Levan,Makashvili,"5' 8""",145 lbs.,"68.0""",15,2,1,The Hornet,Orthodox
John,Makdessi,"5' 8""",155 lbs.,"68.0""",18,9,0,The Bull,Orthodox
Islam,Makhachev,"5' 10""",155 lbs.,"70.0""",25,1,0,,Southpaw
Aliev,Makhmud,"5' 6""",195 lbs.,--,0,1,0,,Southpaw
Zach,Makovsky,"5' 4""",125 lbs.,"64.0""",20,8,0,Fun Size,Southpaw
Azat,Maksum,"5' 7""",125 lbs.,"70.0""",17,0,0,Qazaq,Southpaw
Jeremy,Malaterre,"5' 11""",155 lbs.,--,4,2,0,,
Fabio,Maldonado,"6' 1""",205 lbs.,"75.0""",23,11,0,Caipira de Aco,Orthodox
Marvin,Maldonado,"5' 6""",135 lbs.,--,2,4,0,The Bulldog,
Bea,Malecki,"5' 9""",135 lbs.,"74.0""",4,1,0,,Orthodox
Nazareno,Malegarie,"5' 8""",155 lbs.,--,28,4,0,El Tigre,
Carl,Malenko,"5' 11""",200 lbs.,--,6,4,0,,Orthodox
Jacob,Malkoun,"5' 9""",185 lbs.,"73.0""",7,3,0,Mamba,Orthodox
Mike,Malott,"6' 1""",170 lbs.,"73.0""",10,1,1,Proper,Orthodox
Dan,Manasoiu,--,--,--,0,0,0,,
Troy,Mandaloniz,"5' 9""",170 lbs.,--,3,2,0,Rude Boy,Orthodox
Nate,Maness,"5' 10""",125 lbs.,"72.0""",15,3,0,Mayhem,Orthodox
Michael,Mangan,--,155 lbs.,--,0,3,0,,
Gary,Mangat,"5' 7""",135 lbs.,--,15,3,0,,
Melvin,Manhoef,"5' 9""",185 lbs.,--,30,14,1,No Mercy,Orthodox
Melchor,Manibusan,"5' 5""",154 lbs.,--,2,4,0,Barracuda,Southpaw
Jon,Manley,"6' 1""",170 lbs.,--,9,4,0,,Orthodox
Steve,Mann,"6' 1""",170 lbs.,--,12,5,0,,
Marnic,Mann,"5' 0""",115 lbs.,"64.0""",6,2,0,The Sawed-Off Savage,Southpaw
Dylan,Mantello,"6' 1""",155 lbs.,"73.0""",7,3,0,The Quiet Man,Orthodox
Chris,Manuel,"5' 9""",135 lbs.,--,9,7,2,,Orthodox
Jimi,Manuwa,"6' 1""",205 lbs.,"79.0""",17,6,0,Poster Boy,Orthodox
Cristiano,Marcello,"5' 9""",155 lbs.,"72.0""",13,6,0,,Orthodox
Daniel,Marcos,"5' 7""",135 lbs.,"69.0""",15,0,0,Soncora,Orthodox
Jose,Maria,"5' 5""",125 lbs.,--,37,7,0,No Chance,Orthodox
Marcos,Mariano,"6' 1""",155 lbs.,"76.0""",6,6,0,Dhalsim,Switch
Enrique,Marin,"5' 10""",170 lbs.,--,10,4,0,Wasabi,
Chepe,Mariscal,"5' 7""",145 lbs.,"69.0""",15,6,1,Machine Gun,Orthodox
Ronny,Markes,"6' 1""",185 lbs.,"75.0""",17,5,0,,Orthodox
Rory,Markham,"6' 0""",170 lbs.,"71.0""",17,6,0,,Orthodox
Randa,Markos,"5' 4""",115 lbs.,"63.0""",11,12,1,Quiet Storm,Orthodox
Christina,Marks,"5' 7""",125 lbs.,"69.0""",8,9,0,,Orthodox
Brendon,Marotte,"5' 9""",155 lbs.,"70.0""",8,2,0,The Kid,Orthodox
Nate,Marquardt,"6' 0""",185 lbs.,"74.0""",35,19,2,The Great,Orthodox
Danilo,Marques,"6' 6""",205 lbs.,"77.0""",11,4,0,,Orthodox
Julian,Marquez,"6' 2""",185 lbs.,"72.0""",9,4,0,The Cuban Missile Crisis,Orthodox
Carmelo,Marrero,"6' 0""",205 lbs.,"73.0""",16,6,0,The Fury,Orthodox
Cesar,Marscucci,--,--,--,3,2,0,,
John,Marsh,"6' 0""",265 lbs.,--,8,7,0,,Orthodox
CJ,Marsh,--,--,--,5,7,0,,
Eliot,Marshall,"6' 2""",205 lbs.,"77.0""",10,4,0,Fire,Orthodox
Doug,Marshall,"5' 10""",205 lbs.,--,18,8,0,The Rhino,Orthodox
David,Marshall,"6' 2""",170 lbs.,--,8,4,0,,
Francis,Marshall,"5' 9""",145 lbs.,"72.0""",7,2,0,Fire,Orthodox
Jack,Marshman,"6' 0""",185 lbs.,"73.0""",23,10,0,The Hammer,Orthodox
Terry,Martin,"5' 8""",185 lbs.,"71.0""",23,11,0,,Orthodox
Eric,Martin,--,--,--,0,1,0,,
Justin,Martin,"6' 0""",185 lbs.,--,4,3,0,,
Dave,Martin,"6' 0""",205 lbs.,--,0,2,0,,
Joe,Martin,"5' 9""",170 lbs.,--,6,8,0,,
Anthony Rocco,Martin,"6' 0""",170 lbs.,"73.0""",17,6,0,,Orthodox
Mallory,Martin,"5' 4""",115 lbs.,"63.0""",7,5,0,,Orthodox
Michal,Martinek,"6' 2""",230 lbs.,--,7,1,0,,Southpaw
Rainy,Martinez,"6' 0""",199 lbs.,--,0,2,0,,Orthodox
Danny,Martinez,"5' 6""",125 lbs.,"67.0""",21,8,0,The Gremlin,Orthodox
Alonzo,Martinez,"5' 10""",155 lbs.,--,42,20,1,Zo Diddy,
Henry,Martinez,"5' 7""",155 lbs.,"69.0""",9,4,0,Sicario,Southpaw
Jonathan,Martinez,"5' 8""",135 lbs.,"70.0""",19,4,0,Dragon,Southpaw
Poppies,Martinez,"5' 9""",145 lbs.,--,29,11,0,The Tachi Kid,
Andrew,Martinez,"5' 9""",215 lbs.,--,9,6,0,Mickey D,
Mana,Martinez,"5' 10""",135 lbs.,"70.0""",10,4,0,ManaBoi,Orthodox
Victor,Martinez,"5' 8""",155 lbs.,"70.0""",13,5,0,The Brick,Orthodox
Roque,Martinez,"5' 10""",250 lbs.,"72.0""",15,8,2,,Orthodox
Melissa,Martinez,"5' 2""",115 lbs.,"66.0""",7,1,0,Super Mely,Southpaw
Wagner da Conceicao,Martins,"6' 7""",390 lbs.,--,9,8,0,Zuluzinho,Orthodox
Adriano,Martins,"5' 10""",155 lbs.,"72.0""",28,9,0,,Southpaw
Lucas,Martins,"6' 0""",145 lbs.,"72.0""",19,3,0,Mineiro,Southpaw
Max,Martyniouk,--,155 lbs.,--,1,1,0,Payne,
Bristol,Marunde,"6' 1""",170 lbs.,"75.0""",16,10,0,,Orthodox
Shoji,Maruyama,"5' 7""",139 lbs.,--,12,9,1,,Orthodox
Kazuma,Maruyama,"5' 11""",155 lbs.,"72.0""",11,7,0,Gluttony,Orthodox
Mike,Massenzio,"6' 2""",185 lbs.,"73.0""",13,9,0,The Master of Disaster,Southpaw
Jameel,Massouh,"5' 10""",145 lbs.,"72.0""",26,9,0,,Orthodox
Tiffany,Masters,"5' 3""",115 lbs.,"65.0""",2,1,0,Rainbow Renegade,Orthodox
Jorge,Masvidal,"5' 11""",170 lbs.,"74.0""",35,17,0,Gamebred,Orthodox
Al,Matavao,"5' 8""",205 lbs.,"67.0""",8,3,0,Sweetness,Orthodox
Tateki,Matsuda,"5' 7""",125 lbs.,--,13,8,0,Tech,Orthodox
Daijiro,Matsui,"5' 9""",200 lbs.,--,13,29,7,,Orthodox
Koichiro,Matsumoto,"5' 7""",145 lbs.,--,15,3,1,,
Jean,Matsumoto,"5' 6""",135 lbs.,"68.0""",14,0,0,,Orthodox
Koyomi,Matsushima,"5' 7""",145 lbs.,"66.0""",13,6,0,,Orthodox
Naoki,Matsushita,"5' 6""",155 lbs.,--,12,16,11,,Orthodox
AJ,Matthews,"5' 11""",185 lbs.,--,8,7,0,,
Jake,Matthews,"5' 11""",170 lbs.,"73.0""",19,6,0,The Celtic Kid,Orthodox
Connor,Matthews,"5' 8""",145 lbs.,"71.0""",7,1,0,The Controller,Switch
Claudio,Mattos,--,185 lbs.,--,5,4,0,Popeye,Orthodox
John,Matua,"6' 2""",400 lbs.,--,1,4,0,,Orthodox
Francesco,Maturi,--,--,--,0,1,0,,
